"GEO_ID","NAME","P1_001N",
"Geography","Geographic Area Name"," !!Total",
"1400000US17031061100","Census Tract 611; Cook County; Illinois","1367",
"1400000US17031061200","Census Tract 612; Cook County; Illinois","1932",
"1400000US17031061500","Census Tract 615; Cook County; Illinois","1797",
"1400000US17031061800","Census Tract 618; Cook County; Illinois","1051",
"1400000US17031061901","Census Tract 619.01; Cook County; Illinois","3625",
"1400000US17031061902","Census Tract 619.02; Cook County; Illinois","4665",
"1400000US17031062000","Census Tract 620; Cook County; Illinois","2843",
"1400000US17031062100","Census Tract 621; Cook County; Illinois","3817",
"1400000US17031062200","Census Tract 622; Cook County; Illinois","3244",
"1400000US17031062300","Census Tract 623; Cook County; Illinois","1667",
"1400000US17031062400","Census Tract 624; Cook County; Illinois","1673",
"1400000US17031062500","Census Tract 625; Cook County; Illinois","1675",
"1400000US17031062600","Census Tract 626; Cook County; Illinois","2477",
"1400000US17031062700","Census Tract 627; Cook County; Illinois","2955",
"1400000US17031062800","Census Tract 628; Cook County; Illinois","3851",
"1400000US17031062900","Census Tract 629; Cook County; Illinois","4125",
"1400000US17031063000","Census Tract 630; Cook County; Illinois","3417",
"1400000US17031063100","Census Tract 631; Cook County; Illinois","2376",
"1400000US17031063200","Census Tract 632; Cook County; Illinois","6900",
"1400000US17031063301","Census Tract 633.01; Cook County; Illinois","2833",
"1400000US17031063302","Census Tract 633.02; Cook County; Illinois","4577",
"1400000US17031063303","Census Tract 633.03; Cook County; Illinois","1274",
"1400000US17031063400","Census Tract 634; Cook County; Illinois","2417",
"1400000US17031070101","Census Tract 701.01; Cook County; Illinois","4171",
"1400000US17031070102","Census Tract 701.02; Cook County; Illinois","3063",
"1400000US17031070103","Census Tract 701.03; Cook County; Illinois","1845",
"1400000US17031070200","Census Tract 702; Cook County; Illinois","4200",
"1400000US17031070300","Census Tract 703; Cook County; Illinois","4349",
"1400000US17031070400","Census Tract 704; Cook County; Illinois","3250",
"1400000US17031070500","Census Tract 705; Cook County; Illinois","3322",
