OBJECTID,SgmtEnd1,SgmtEnd2,Street,Owner,Manager,Miles,FacName,Sub_System,TrailType,TrailSurfa,Editor,Edtdate,Muni,TrailWdth,created_user,created_date,last_edited_user,last_edited_date,GlobalID,Status,ShapeSTLength
22,,,na,Arlington Heights,Arlington Heights,0.02198594,,,Trail,Asphalt,,,Arlington Heights,10 feet,PETERDIRKS,2022/03/29 19:32:00+00,PETERDIRKS,2022/03/29 19:32:00+00,{D9A26355-1E08-44C2-AAC3-884363511E1B},Existing,116.08573783344
23,,,na,Arlington Heights,Arlington Heights,0.02624424,,,Trail,Asphalt,,,Arlington Heights,10 feet,PETERDIRKS,2022/03/29 19:32:00+00,PETERDIRKS,2022/03/29 19:32:00+00,{EEBBFB8D-7C70-4D61-AE78-9814B8F02951},Existing,138.569561775727
24,,,na,Arlington Heights,Arlington Heights,0.02857452,,,Trail,Asphalt,,,Arlington Heights,10 feet,PETERDIRKS,2022/03/29 19:32:00+00,PETERDIRKS,2022/03/29 19:32:00+00,{9344416A-52B7-4AFE-8C9E-B37E7B08E933},Existing,150.873480657193
25,Busse Rd,Crossen Ave,Oakton St,IDOT,Elk Grove Village,0.1763205,,,Sidepath,Asphalt,,,Elk Grove Village,10 ft,PETERDIRKS,2022/03/29 19:51:38+00,BENETHALLER,2025/08/19 19:51:53+00,{D02DD157-1D1F-41E9-8763-024AFBA19506},Existing,1923.89239141725
27,,,Oakton St,,Elk Grove Village,0.01983481,,,Sidepath,Asphalt,,,Elk Grove Village,,PETERDIRKS,2022/03/29 19:51:38+00,PETERDIRKS,2022/03/29 19:51:38+00,{E4151D93-EF58-437D-8232-E9EB5F036EE3},Existing,104.727796084809
28,,,Innovation Dr,Elk Grove Village,Elk Grove Village,0.02590388,,,Sidepath,Asphalt,,,Elk Grove Village,8 ft,PETERDIRKS,2022/03/29 20:28:55+00,PETERDIRKS,2022/03/29 20:28:55+00,{361DEC4D-2B87-4D85-B4A9-E703DDCA484E},Existing,136.772497666967
29,,,Brennan Blvd,Elk Grove Village,Elk Grove Village,0.05594782,,,Sidepath,Asphalt,,,Elk Grove Village,8 ft,PETERDIRKS,2022/03/29 20:28:55+00,PETERDIRKS,2022/03/29 20:28:55+00,{85AB4321-02D2-4452-B2DE-4BF48BB35879},Existing,295.404480198976
30,,,Brennan Blvd,Elk Grove Village,Elk Grove Village,0.01953712,,,Road Crossing,Asphalt,,,Elk Grove Village,8 ft,PETERDIRKS,2022/03/29 20:28:55+00,PETERDIRKS,2022/03/29 20:28:55+00,{945177D7-3C61-4D6F-8570-61FFF36329DE},Existing,103.155983233902
31,,,Innovation Dr,Elk Grove Village,Elk Grove Village,0.03209191,,,Sidepath,Asphalt,,,Elk Grove Village,8 ft,PETERDIRKS,2022/03/29 20:28:55+00,PETERDIRKS,2022/03/29 20:28:55+00,{167E59E2-F6B4-468C-9154-DDD67F37E33A},Existing,169.44530803592
32,,,Brennan Blvd,Elk Grove Village,Elk Grove Village,0.04762054,,,Sidepath,Asphalt,,,Elk Grove Village,8 ft,PETERDIRKS,2022/03/29 20:28:55+00,PETERDIRKS,2022/03/29 20:28:55+00,{A86E8A97-5DD3-4637-BB00-95FAB75CE41E},Existing,251.436434709334
33,,,Innovation Dr,Elk Grove Village,Elk Grove Village,0.09559612,,,Sidepath,Asphalt,,,Elk Grove Village,8 ft,PETERDIRKS,2022/03/29 20:28:55+00,PETERDIRKS,2022/03/29 20:28:55+00,{1E4AA1B7-0C09-43AF-973A-25F40192C671},Existing,504.747528932446
34,,,Innovation Dr,Elk Grove Village,Elk Grove Village,0.0317444,,,Sidepath,Asphalt,,,Elk Grove Village,8 ft,PETERDIRKS,2022/03/29 20:28:55+00,PETERDIRKS,2022/03/29 20:28:55+00,{C1A030FF-291D-4595-A9F1-EB4CDEEB0BD5},Existing,167.610437660872
35,,,Innovation Dr,Elk Grove Village,Elk Grove Village,0.09535924,,,Sidepath,Asphalt,,,Elk Grove Village,8 ft,PETERDIRKS,2022/03/29 20:28:55+00,PETERDIRKS,2022/03/29 20:28:55+00,{40C979C1-FE34-4E97-B585-F5ADD18036B2},Existing,503.496803311696
36,,,Higgins Rd,IDOT,Elk Grove Village,0.05925386,,,Sidepath,Asphalt,,,Elk Grove Village,8 ft,PETERDIRKS,2022/03/29 20:28:55+00,BENETHALLER,2025/08/19 19:57:36+00,{ABE1B35F-8861-4774-BBBC-BFEE3F03A4A3},Existing,463.522326216643
37,,,Innovation Dr,IDOT,Elk Grove Village,0.01818639,,,Road Crossing,Asphalt,,,Elk Grove Village,8 ft,PETERDIRKS,2022/03/29 20:28:55+00,PETERDIRKS,2022/03/29 20:28:55+00,{2DE0CB63-CE45-42F5-9D89-9927B70A814F},Existing,96.0241368005006
