SYSTEMSTOP,STREET,CROSS_ST,DIR,POS,ROUTESSTPG,OWLROUTES,CITY,PUBLIC_NAM,CENSUS_TRACT
7811.0,HARLEM,59TH STREET,NB,FS,62H,,CHICAGO,Harlem & 59th Street,17031561000
9991.0,KEDZIE,8600 SOUTH,NB,MB,52A,,CHICAGO,8600 S Kedzie,17031700500
14065.0,AVENUE O,13601 S (SENIOR BLDG),NB,MB,30,,CHICAGO,13601 S Avenue O (Senior Bldg),17031550100
2338.0,STATE,27TH STREET,NB,MT,29,,CHICAGO,State & 27th Street,17031350300
14364.0,DODGE,MONROE,NB,NS,"93,206",,EVANSTON,Dodge & Monroe,
4663.0,NARRAGANSETT,58TH STREET,NB,NS,55N,,CHICAGO,Narragansett & 58th Street,17031561100
7001.0,COMMERCIAL,96TH STREET,NB,NS,71,,CHICAGO,Commercial & 96th Street,17031510100
9967.0,KEDZIE,110TH STREET,NB,MT,52A,,CHICAGO,Kedzie & 110th Street,17031740100
14089.0,HOMAN,MAYPOLE,NB,NS,82,,CHICAGO,Homan & Maypole,17031270300
7355.0,EWING,105TH STREET,NB,NS,"26,30",,CHICAGO,Ewing & 105th Street,17031520400
9620.0,AUSTIN,RAILROAD AVENUE,NB,NS,91,,CHICAGO,Austin & Railroad Ave (Blue Line),17031252400
2966.0,COTTAGE GROVE,106TH STREET,NB,NS,"4,115",,CHICAGO,Cottage Grove & 106th Street,17031500200
12258.0,AVENUE B,107TH STREET,NB,NS,100,,CHICAGO,Avenue B & 107th Street,17031520400
11609.0,CENTRAL,GEORGE,NB,NS,85,,CHICAGO,Central & George,17031190300
758.0,NAVY PIER,TERMINAL,NB,TERM,29,,CHICAGO,Navy Pier Terminal,17031081400
1133.0,LAKE SHORE,SCOTT,NB,MT,151,,CHICAGO,Lake Shore & Scott,17031080100
1161.0,LAKE SHORE,BROMPTON,NB,MT,"135,146,151",,CHICAGO,Lake Shore & Brompton,17031060900
1113.0,STATE,VAN BUREN,NB,NS,"2,10,29,130,146,147,148",,CHICAGO,State & Van Buren,17031320400
