census_tract,bike_lane_miles
17031720500,0.0
17031730200,0.5245842715847777
17031730300,0.0
17031740100,0.0
17031710500,0.0
17031711200,0.0
17031711300,0.0
17031720200,0.0
17031700400,0.0
17031710200,0.13397373801219167
17031681400,0.0
17031690800,0.5039873119776903
17031691100,0.0
17031691300,0.0
17031680500,0.0
17031681200,0.25146259431133205
17031670100,0.0
17031670600,0.0
17031670800,0.0
17031671300,0.0
17031650500,0.0
17031660200,0.0
17031660700,0.0
17031640400,0.0
17031640600,0.0
17031640700,0.0
17031650400,0.0
17031630200,0.0
17031630300,0.0
17031630500,0.0
17031610500,0.0
17031610600,0.0
17031611100,0.0
17031611500,0.0
17031611900,0.0
17031600700,0.01615669123808908
17031601200,0.0
17031601600,0.03788835183836311
17031610100,0.5016823396284852
17031610300,0.47282362954517726
17031581100,0.0
17031590500,0.0
17031590600,0.0
17031570100,0.0
17031570200,0.0
17031580200,0.47559369129962475
17031560500,0.0
17031560700,0.0
17031560800,0.0
17031530400,1.0039404556598388
17031520300,0.0
17031520400,0.0
17031530300,0.16960386957136472
17031510100,0.0
17031490300,0.0
17031490800,0.05575969380042505
17031491200,0.0
17031460400,0.0
17031460800,0.0
17031480200,0.0
17031480300,0.0
17031440600,0.0
17031460200,0.0
17031431100,0.0
17031440300,0.07913015752606084
17031420800,0.0
17031421100,0.0
17031430400,0.11947760697222023
17031430600,0.0
17031411000,0.0
17031411400,0.2528189963570293
17031420300,0.0
17031390400,0.0
17031390700,0.0
17031400300,1.0490798516711397
17031410400,0.0
17031410500,0.0
17031370400,0.0
17031380300,0.49779843172387944
17031380700,0.0
17031381500,0.1252081008644886
17031381800,0.25146624771932863
17031390100,0.0
17031350100,0.0
17031350400,0.0
17031350900,0.059128950910869484
17031370300,0.0
17031360300,0.0
17031330200,0.1591968258777477
17031330400,0.586260107606497
17031340200,0.0
17031311400,0.0
17031320500,1.2738086291230937
17031301800,0.0
17031310300,0.0
17031310600,0.1514706679825955
17031310700,0.0
17031311000,0.0
17031292600,0.0
17031300300,0.0
17031300400,0.0
17031301300,0.6390847254588107
17031301400,0.12508859163517436
17031284300,0.0
17031290600,0.16205266844347307
17031290900,0.0
17031291900,0.0
17031291200,0.2513830438032845
17031291600,0.0
17031292100,0.0
17031282800,0.0
17031283200,0.0
17031283500,1.0564198058888365
17031283600,0.0011047500478175338
17031280100,1.1620405581380657
17031280600,0.2970343540757575
17031280900,0.0
17031281100,0.0
17031281800,0.5044601535213209
17031281900,0.7054254776309387
17031260900,0.0
17031270300,0.25345861679915704
17031270800,0.0
17031271300,0.0
17031251700,0.0
17031252200,0.0
17031252300,0.0
17031260700,0.06251935679842745
17031250800,0.0
17031251100,0.0
17031251600,0.0
17031242100,0.252187681681326
17031242800,0.28598059978604207
17031243100,0.00028153044400315087
17031243500,0.4993626936543797
17031243600,0.3295976906504725
17031240400,0.0
17031240500,0.378989340769478
17031241000,0.0
17031241500,0.0
17031241600,0.0
17031222600,0.0
17031222800,0.0
17031230700,0.0
17031230900,0.0
17031231200,0.0
17031220800,0.1385588068193161
17031221100,0.0
17031221800,0.1688004286354748
17031222300,0.08176815679453811
17031200400,0.0
17031210500,0.33661106298039395
17031210700,0.8865491688059506
17031220100,0.6535929925940683
17031220200,0.15419619240526136
17031190800,0.0
17031190900,0.0
17031191400,0.0
17031170500,0.0
17031170800,0.0
17031171100,0.0
17031160800,0.0
17031161100,0.4498215917978618
17031161300,0.5002439271741387
17031170300,0.0
17031150800,0.0
17031150900,0.3245958670602723
17031160200,0.0
17031140200,0.0
17031140400,0.0
17031140700,0.0
17031150200,0.0
17031130200,0.0
17031100600,0.0
17031100700,0.0
17031090200,0.0
17031100200,0.0
17031100400,0.0
17031081500,0.0
17031071400,0.0
17031071500,0.0
17031080500,0.3537735546303277
17031080200,0.0
17031080700,0.0
