census_tract,Tree_Canopy
17031720500,32.147528289104805
17031730200,20.5661965195137
17031730300,17.6383441877917
17031740100,22.16512627666689
17031710500,18.639362256240464
17031711200,20.024783398248516
17031711300,22.61816882063947
17031720200,42.614785054781706
17031700400,21.204444687275725
17031710200,24.27283205486434
17031681400,24.694816244151006
17031690800,29.479533512793033
17031691100,22.478680547402984
17031691300,25.294713698371417
17031680500,37.882518177869436
17031681200,30.33432895201962
17031670100,34.17998589085686
17031670600,32.0808795267083
17031670800,23.47667511916107
17031671300,29.612776216856442
17031650500,10.125231149244971
17031660200,15.427559153281887
17031660700,24.395909755130642
17031640400,12.074143300167519
17031640600,12.260079110652805
17031640700,17.199346510759653
17031650400,15.625923671919743
17031630200,26.905396784968794
17031630300,17.79959956364135
17031630500,20.42221915759178
17031610500,16.279008893187026
17031610600,16.238044909447474
17031611100,29.313019754039097
17031611500,17.804549139924205
17031611900,32.82383482689338
17031600700,14.26160654547612
17031601200,21.249420873784725
17031601600,13.214682281720949
17031610100,16.235135895602863
17031610300,20.572633216016236
17031581100,14.488701215859848
17031590500,25.29600704661419
17031590600,21.21729898918263
17031570100,12.480129395871408
17031570200,11.432838160272587
17031580200,20.501028337006467
17031560500,11.218139864794512
17031560700,13.511659630503123
17031560800,15.891186280971736
17031530400,18.277077739371347
17031520300,19.651339813256143
17031520400,19.29252706303243
17031530300,23.022893922049292
17031510100,16.251832891393278
17031490300,23.251288371370993
17031490800,19.7362294728146
17031491200,26.738768762900946
17031460400,27.213920276794177
17031460800,20.82134588717931
17031480200,23.821402966806485
17031480300,24.46172448901253
17031440600,23.78608869298546
17031460200,28.83571977999085
17031431100,22.078029295038498
17031440300,22.9815586019089
17031420800,19.76627162115714
17031421100,25.648957580258305
17031430400,26.936531055208565
17031430600,23.6765678452777
17031411000,22.662324316776655
17031411400,26.27561699952854
17031420300,21.767645024933824
17031390400,29.78261419794126
17031390700,26.63291877909977
17031400300,28.798156030809498
17031410400,29.80001511782563
17031410500,27.597753901902855
17031370400,13.624226393414364
17031380300,21.04087224135397
17031380700,18.865116027190687
17031381500,14.479246900191526
17031381800,21.24082147739084
17031390100,22.209619499997647
17031350100,25.22660927821776
17031350400,22.882396524715475
17031350900,26.072344333047347
17031370300,13.614219671807936
17031360300,21.804470761391926
17031330200,18.849506421363234
17031330400,16.31232516002901
17031340200,17.072868666337442
17031311400,14.906987765372987
17031320500,16.320888029903244
17031301800,20.77339741345964
17031310300,19.619668227133964
17031310600,17.296521069451448
17031310700,16.252370911496524
17031311000,19.101985312254087
17031292600,15.425628128591702
17031300300,24.444555261699964
17031300400,24.435667123550047
17031301300,17.746336876195386
17031301400,17.738946622278327
17031284300,19.097332337363707
17031290600,15.056378811433055
17031290900,21.405524734255877
17031291900,29.52970739834615
17031291200,19.064951787801643
17031291600,33.67991594461793
17031292100,22.112247059730375
17031282800,26.036842796633817
17031283200,33.655515800729326
17031283500,15.913029010460187
17031283600,15.896797066722783
17031280100,15.234991939223566
17031280600,18.879729698701414
17031280900,15.588069182389866
17031281100,18.84234832777899
17031281800,21.351587857592488
17031281900,14.88590975599102
17031260900,25.231971465492666
17031270300,26.91180921253807
17031270800,23.853744215932245
17031271300,15.60312880116491
17031251700,21.339138698771883
17031252200,21.831057080747776
17031252300,13.87229865458439
17031260700,23.70248502552239
17031250800,20.10522472856309
17031251100,25.082378173768337
17031251600,29.22993819415463
17031242100,28.35091135693324
17031242800,19.040625895861677
17031243100,23.44938952063855
17031243500,19.47687218613677
17031243600,13.860070254327763
17031240400,30.801142160577566
17031240500,30.532025455943444
17031241000,25.060522817096818
17031241500,21.676651771213088
17031241600,21.110885003212
17031222600,30.828090635821447
17031222800,25.8015019178652
17031230700,21.8146835374157
17031230900,22.56829230273013
17031231200,28.32903276591688
17031220800,19.690352569134742
17031221100,28.335385988134504
17031221800,15.88619065044935
17031222300,23.32134363266919
17031200400,21.04458174040491
17031210500,21.868530196672044
17031210700,22.042126549812966
17031220100,15.564442102342387
17031220200,15.445907625688399
17031190800,19.05159656796062
17031190900,20.916011519754004
17031191400,13.46996230517197
17031170500,22.96502247757226
17031170800,21.58091030265696
17031171100,19.474196838832537
17031160800,23.88947607708374
17031161100,29.100369727428006
17031161300,23.956944091699622
17031170300,20.754598587176304
17031150800,21.752604898011793
17031150900,18.418498989579554
17031160200,23.4554910980092
17031140200,25.4083785726876
17031140400,24.913805463037686
17031140700,27.137161542027773
17031150200,25.687435132927117
17031130200,38.81757490196761
17031100600,22.071689564534644
17031100700,22.473380637385333
17031090200,28.119211496977975
17031100200,28.53910808427159
17031100400,23.18487342518487
17031081500,17.592168013467372
17031071400,28.129518692581314
17031071500,24.635030484599646
17031080500,15.627629704031436
17031080200,31.387775199176172
17031080700,15.581151435158906
17031063100,24.77369376882674
17031070500,30.36467839034568
17031071200,34.35247960803042
17031061000,24.16665787271785
17031061300,30.87439663455049
17031061500,34.63244761592867
17031062300,31.040511804825723
17031062600,23.536819735992065
17031062700,26.411865545901527
17031062800,30.306021120465992
17031062900,33.44699379245305
17031050400,19.11462869612605
17031050500,31.79255462713834
17031050600,30.22111241845103
17031050700,35.86973806649406
17031050800,30.518990766894976
17031051000,26.780698752875097
17031051100,31.95189215372006
17031051200,33.1241936009001
17031051400,31.033304302131857
17031051500,19.45386521189204
17031060100,35.67049514477835
17031060200,31.19803634416634
17031060400,33.24364507089729
17031060500,36.59252368244567
17031060600,26.993679114137663
17031060800,21.64536826932474
17031040100,34.13332455161839
17031040200,24.683151569518703
17031040300,36.96241060772834
17031040700,30.92857352120774
17031040800,31.68735691584093
17031040900,33.59800450010208
17031050100,27.730168943231057
17031050200,29.718722768282223
17031050300,24.948615773867534
17031031000,28.1577410758844
17031031100,28.139792552956134
17031031200,19.113872870132067
17031031400,21.413409428959405
17031031700,31.10541328789837
17031031800,24.63015976200684
17031031900,29.85844675369756
17031032100,25.412037741536427
17031020600,28.435657974704714
17031020700,27.862606008156543
17031030200,36.2511024985118
17031030300,34.606802768775594
17031030400,27.94033644200153
17031030600,20.556693378501144
17031030700,25.089890119029615
17031030800,36.80512482096581
17031010500,29.915495263210587
17031010600,36.916758924444785
17031010700,35.04779263700378
17031010900,29.63528188340441
17031020300,27.727026524219315
17031020400,37.01841407396674
17031020200,31.16933897393351
17031000000,18.37339467203038
17031010100,28.732905108168243
17031010200,32.020439068346455
17031750100,25.49147060585391
17031750200,42.67607725231408
17031750300,32.46224216899755
17031750600,25.79851349231361
