GEO_ID,Census Tract Name,% population (25+) with <9 years of education,% population (25+) with at least a high school diploma,Unemployment rate (civilian labor force 16+),% families below the poverty level,median home value,median gross rent,Median Family Income,% population below 150% of the poverty threshold,median monthly mortgage,% single-parent households with children < 18,% owner-occupied housing units,% occupied housing units without complete plumbing,% households without a motor vehicle,% households without a telephone,% households with >1 person per room,% employed persons (16+) in white-collar occupations,log ratio low-to-high income
1400000US17031070101,Census Tract 701.01; Cook County; Illinois,62,3299,0.4,13.3,490100,1622,83614,13.3,3270,,38.0,0.0,51.2,0.0,0.0,74.6,-0.129
1400000US17031070102,Census Tract 701.02; Cook County; Illinois,18,2435,0.7,0.0,744300,1497,110577,0.0,3092,,37.1,0.8,37.7,0.8,0.8,66.6,-0.173
1400000US17031070103,Census Tract 701.03; Cook County; Illinois,0,1100,1.8,0.0,-,1663,73581,0.0,2792,,7.1,0.0,62.8,0.0,0.0,68.1,-0.108
1400000US17031070200,Census Tract 702; Cook County; Illinois,11,2944,6.2,8.1,704300,1927,109000,8.1,3770,,29.5,0.0,35.1,0.0,1.2,69.4,-0.137
1400000US17031070300,Census Tract 703; Cook County; Illinois,0,2176,3.1,8.1,633900,2696,156898,8.1,3837,,38.6,0.0,33.5,0.9,3.3,69.6,-0.181
1400000US17031070400,Census Tract 704; Cook County; Illinois,57,2018,1.3,0.0,809500,2136,192955,0.0,"4,000+",,46.0,0.0,32.3,0.0,0.8,72.6,-0.021
1400000US17031070500,Census Tract 705; Cook County; Illinois,91,2241,3.2,8.2,840600,2013,207076,8.2,"4,000+",,55.8,0.0,20.6,2.7,0.0,66.6,-0.148
1400000US17031070600,Census Tract 706; Cook County; Illinois,30,2263,3.0,0.0,838100,3433,249531,2.9,3861,,64.1,0.0,7.1,0.0,0.9,66.1,0.025
1400000US17031070700,Census Tract 707; Cook County; Illinois,137,2600,1.5,3.1,631400,2117,143955,4.5,3967,,52.9,0.9,18.0,3.4,0.7,70.9,-0.004
1400000US17031071000,Census Tract 710; Cook County; Illinois,6,1624,15.3,0.0,1010200,2026,179438,0.0,"4,000+",,55.3,0.0,27.2,0.0,0.0,72.9,-0.072
