census_tract,Tree_Canopy,Affordable_Housing,Parks,Transit_Stop,Bike_Miles,Wifi_Hotspots,School_Density,Library_Count,Small_Business,Grocery_Store,Tract_Area_SqMi,Population
17031031900,29.85130647061875,153.4496,53.4452,23.791,7.6007,80.402,19.826,11.895,109.437,5.9477,0.0995,2522
17031032100,25.368931391785377,136.1527,274.2973,29.166,7.9835,60.6428,9.28,2.651,48.787,3.9772,0.1649,7543
17031040100,34.1409373015528,38.1562,60.0244,46.095,2.1597,2.589,23.047,10.243,59.9232,1.7926,0.7725,3905
17031040201,24.764715132956912,14.5131,116.2316,39.014,5.6188,10.7836,6.242,4.682,75.2185,12.7965,0.2782,6408
17031040202,24.55984812622462,0.6832,66.0039,24.597,1.6629,8.7912,6.832,4.099,45.9142,7.3791,0.2275,7318
17031040300,36.976377893724425,46.4481,265.6623,30.738,7.5794,13.5501,34.153,10.246,29.3716,2.7322,0.2952,2928
17031040401,30.9804751449844,12.7836,153.9479,22.371,10.1467,20.4221,15.98,6.392,73.5059,15.3404,0.1469,3129
17031040402,29.82426924297436,10.7459,96.3979,31.606,3.9353,17.0503,6.321,6.321,80.2781,15.1707,0.2346,4746
17031040600,30.683607736667472,20.1581,126.1511,43.478,1.2263,31.2989,15.81,7.905,250.9881,37.5494,0.1278,2530
17031040700,30.92717822985789,45.5342,191.7143,23.351,9.9885,21.7707,11.675,5.838,132.2242,37.0695,0.1378,3426
17031040800,31.69913625569279,59.9022,493.0539,24.45,14.7173,33.86,18.337,6.112,69.6822,5.5012,0.0886,1636
17031040900,33.613956697958,46.5342,127.4484,48.473,0.0,40.2253,19.389,4.847,198.255,17.4503,0.1243,2063
17031050100,27.71980781683361,32.3209,2.5695,38.941,0.9767,30.9837,19.47,11.682,120.7165,15.9657,0.1291,2568
17031050200,29.71429754340905,14.5037,97.4447,26.37,0.5006,15.8793,9.418,1.884,106.7998,15.8222,0.2519,5309
17031050300,24.95930860538548,55.0356,603.7663,22.463,15.0635,19.1693,14.976,3.744,79.7454,8.611,0.1565,2671
17031050500,31.79560083209802,13.4845,37.7834,29.314,0.5004,3.9683,11.726,3.909,124.0962,4.8857,0.252,5117
17031050600,30.208332794755847,35.2026,5.5676,28.653,0.9828,15.5885,28.653,8.187,166.5984,22.5133,0.1283,2443
17031050700,35.875775155756685,114.3424,18.0465,26.438,3.9292,15.6986,33.047,6.609,54.197,3.3047,0.0637,1513
17031050800,30.510827017836554,1.4225,12.8645,28.45,7.9513,15.8983,42.674,7.112,269.559,14.936,0.0629,1406
17031050900,29.175818441659825,0.0,0.0,21.038,13.2458,0.0,35.063,7.013,71.5288,18.2328,0.0628,1426
17031051000,26.796951977316404,0.0,63.2737,19.506,25.6967,0.0,39.012,6.502,100.13,3.9012,0.0642,1538
17031051100,31.95240923922277,59.4121,156.7961,31.27,17.1644,15.9236,50.031,6.254,195.122,16.2602,0.0628,1599
17031051200,33.13699321303076,163.1879,155.6097,25.3,7.224,31.4961,31.626,6.325,50.6009,0.0,0.0635,1581
17031051300,32.77164083977842,120.399,97.1866,30.96,12.9711,16.0643,20.64,6.88,44.0316,3.096,0.1245,2907
17031051400,31.08760554658094,75.0401,69.7929,28.09,18.9525,7.0175,20.064,4.013,60.5939,2.809,0.1425,2492
17031060100,35.6729337782034,200.0,2.9464,24.735,6.244,47.3934,17.668,14.134,44.1696,7.7739,0.1266,2830
17031060200,31.18954578962413,44.9633,3.9803,8.647,4.0302,24.4101,21.617,17.294,188.4998,12.9702,0.1229,2313
17031060300,33.61802640625925,39.6619,9.1616,19.506,0.0,8.0972,16.255,9.753,98.1795,6.827,0.1235,3076
17031060400,33.24757603398266,99.4877,11.79,18.873,2.184,7.9681,13.481,5.392,110.8115,17.7946,0.1255,3709
17031060500,36.62572558208333,248.9083,42.5732,43.668,3.1058,34.0522,29.112,21.834,69.1412,10.917,0.0881,1374
17031060800,21.613695096609653,65.5335,1213.8999,20.774,15.0726,42.6136,7.554,3.777,31.9169,3.7771,0.0704,5295
17031060900,22.919553204989924,48.4234,638.1892,29.561,6.693,14.5914,5.631,2.815,47.8604,5.3491,0.2056,7104
17031061000,24.16915619662487,178.5871,54.036,8.776,7.7729,44.9102,21.939,13.164,170.2501,6.5818,0.0668,2279
17031061100,19.98289427470788,301.3899,57.1623,36.576,4.4734,44.9102,29.261,21.946,228.237,27.0666,0.0668,1367
17031061200,29.77103312185094,234.472,30.6508,15.528,2.5377,29.6736,31.056,15.528,86.4389,17.0807,0.0674,1932
17031061500,34.64408356165067,176.4051,22.2867,5.565,3.519,63.4921,27.824,16.694,68.4474,8.9037,0.063,1797
17031061800,24.402584530535595,158.8963,949.4366,57.088,22.4473,94.0439,38.059,19.029,68.5062,13.3206,0.0319,1051
17031061901,25.47383923946417,76.9655,1390.2562,13.793,17.8091,47.4684,5.517,5.517,63.4483,12.6897,0.0632,3625
17031061902,14.018571316310297,58.7353,836.4674,21.436,8.1979,16.1464,4.287,4.287,22.0793,0.2144,0.1858,4665
17031062000,27.375449397479496,116.7781,41.1554,24.622,9.9217,34.6821,10.552,7.035,116.4263,18.994,0.0865,2843
17031062100,24.243814515359656,41.6558,6.6436,23.579,9.1292,31.7797,10.479,7.86,270.1074,32.7482,0.0944,3817
17031062200,28.952157949941736,98.9519,14.177,3.083,7.3585,42.508,15.413,12.33,152.5894,12.947,0.0941,3244
17031062300,31.04436918573022,139.772,18.7834,17.996,1.5472,31.6957,23.995,17.996,88.1824,10.7978,0.0631,1667
17031062400,29.132929748491403,132.098,16.3251,11.955,0.0,31.7965,23.909,11.955,86.6707,10.1614,0.0629,1673
17031062500,26.168557808613883,100.2985,11.6241,11.94,0.0,32.1543,29.851,5.97,175.5224,31.6418,0.0622,1675
17031062600,23.53935435655952,141.3,17.9884,20.186,2.9789,15.6986,20.186,8.074,140.0888,8.8817,0.1274,2477
17031062700,26.402723524188925,73.7733,26.503,27.073,0.0,15.9363,20.305,10.152,180.7107,21.9966,0.1255,2955
